gene,log2fc,padj
not_JW3003,-1.04598671562049,3.44791147476135e-17
gntY,-1.17447969688344,3.0917014269552e-15
sufD,-1.39495898459177,1.26882686832302e-13
sufS,-1.05336815872299,3.57211029142127e-13
sufE,-0.878133384293729,5.00951969301442e-13
lpxC (G210S)-kan,-0.613431250157289,1.67639076825834e-12
apaH,-0.372721777602531,1.67639076825834e-12
cyoA,-0.523865688783891,6.00466502490802e-11
yrbA,-0.375521491517751,1.28767958670379e-10
exbB,-0.668140801198282,2.296474146231e-10
ydfY/gnsB,-0.339062783865889,5.76693788834456e-10
sufC,-1.42179314185101,1.535158455743e-09
glpT,-0.24731817615656,1.535158455743e-09
hemF,-0.482932508184882,1.7442828363793e-09
cyoD,-0.307140994896049,2.56872207071872e-09
mrp,-0.355431119326557,2.56872207071872e-09
cyoC,-0.312460274119063,2.6067744288256e-09
pyrB,-0.31892685845853,7.81826871864698e-09
ydhD,-1.04779864497337,1.02671194214866e-08
rpmI,0.245077985957045,3.207599335734e-08
gltX,-0.321913899175802,3.21549542978603e-08
fepC,-1.0822130361273,3.93198145062401e-08
sodA,-0.612340711168125,5.34678681079825e-08
not_JW0417,-0.318732833260087,5.34678681079825e-08
cyoB,-0.264408592580789,5.86649331620434e-08
carB,-0.442049790729454,7.15697686070702e-08
birA,-0.241496863587578,8.14351596747362e-08
iscR,-0.398433468721308,8.66341316655235e-08
ygfZ,-0.768775500125776,9.28495322937591e-08
not_JW1673,-1.02149885297053,9.28495322937591e-08
ykfB,0.200467795591668,9.28495322937591e-08
ribD,0.326917650669192,1.345579769193e-07
topA,0.286979551826611,2.01215832666002e-07
imp4213,-0.501793567974592,2.01215832666002e-07
accD,0.276281647440341,2.26757003985293e-07
ycdX,-0.182693875323598,2.68167499711837e-07
not_JW0139,0.299663611623243,2.68167499711837e-07
aaeX,0.293921330953232,3.61952739690708e-07
yehI,0.213508056489692,5.95339786615583e-07
minC,-0.255064943571098,6.38282069693954e-07
yhbV,0.177975334669495,7.38701326787933e-07
folA,0.188425374636949,7.39520719017805e-07
not_JW1155,-0.260906607158631,7.95436792487386e-07
purH,0.402513010816334,8.05179585759928e-07
sroH,0.288803247904483,8.21734077968871e-07
emrA,-0.421795400022846,8.36713663271058e-07
acrA,-0.359891223422598,1.07793242338509e-06
smpB,0.193967580763442,1.07793242338509e-06
caiA,-0.190679724288377,1.22150270846409e-06
not_JW2321,0.327580785154594,1.28000578802327e-06
rpoN,0.507793974702766,1.28438834913177e-06
not_JW0951,0.241736776992097,1.43440655620938e-06
yfjV,-0.214480657907883,1.71547542607351e-06
mfd,-0.188818279508644,1.87266955919047e-06
fepG,-0.914983448224476,2.12438612311041e-06
ygcU,-0.363898941493398,2.53567320152158e-06
fabI,0.190494296912977,2.53567320152158e-06
pepD,-0.148732570683932,2.62290794858609e-06
glyQ,0.197808747035666,2.67838594886375e-06
cadC,0.188571160729147,2.75270028087728e-06
ugpC,-0.277550643228698,2.75270028087728e-06
ahpC,0.203987968968397,2.98193912015294e-06
rnc,0.298758484246538,3.05862592173378e-06
fis,-0.219883288003604,3.49676837211613e-06
not_JW2123,0.182461287008559,3.60637727241797e-06
vacJ,-0.214560546813445,3.64627794080345e-06
ribF,0.246419966981702,3.96522788687364e-06
not_JW2327,0.189079553255721,3.97192973243629e-06
not_JW2931,0.182881808845145,4.08472672719076e-06
yjhP,0.14199736250218,4.08472672719076e-06
ybcH,-0.136566821786944,4.22362007876128e-06
cpdA,-0.257841063499152,4.31757566524645e-06
lysU,-0.242412457087678,4.44913344884045e-06
ribE,0.234064762137094,4.56069456298802e-06
not_JW1712,0.214349577750305,4.86906523653915e-06
ubiF,-0.541813263802932,4.86906523653915e-06
emrB,-0.335040834838624,4.97749937646212e-06
fbaA,0.215060763264701,5.47785710349607e-06
mprA,0.263483968492604,5.47785710349607e-06
ykgB,0.121263276722819,5.51193996823224e-06
ybjD,-0.15981849361174,5.53665471037811e-06
rfaF,-0.601528491213991,6.04574281002641e-06
hdfR,-0.190204121559198,6.90487581908154e-06
cirA,0.236690331488202,6.9669237042985e-06
yciB,-0.351093194971109,7.16973061363552e-06
tfaD,-0.254763349383746,7.29360603466551e-06
yggP,-0.16750626108135,7.58120699641192e-06
cydA,0.359476455065572,8.13046965962048e-06
yfiM,0.155206546235591,8.85751286384157e-06
feoA,-0.301042475146527,9.03307561487076e-06
yehR,-0.23311570803253,9.77648454294868e-06
cueR,-0.179372470179939,9.77648454294868e-06
yjhT,0.12862780632951,9.77648454294868e-06
gshB,-0.303359641910948,9.77648454294868e-06
flhE,-0.298269615041418,9.77648454294868e-06
artJ,-0.16878839277212,9.94284975574562e-06
not_JW5314,-0.268365027740761,9.94284975574562e-06
rpmG,0.234353733887182,9.94284975574562e-06
dcuR,0.194796758213376,1.00622582443048e-05
ygfX,-0.142355381855382,1.00622582443048e-05
lpcA,0.664681252618471,1.00622582443048e-05
pcnB,0.276264581924988,1.06328239241177e-05
rfaQ,-0.313838381119224,1.06328239241177e-05
fliP,0.165792483242868,1.15240849439552e-05
rpoH,0.183487610448656,1.15627917205215e-05
ycfZ,-0.182894993423279,1.15627917205215e-05
yheN,0.226354266231573,1.15627917205215e-05
gor,-0.44918641006607,1.15627917205215e-05
yehM,0.137359598623942,1.196628591375e-05
yfdY,0.227253308116066,1.196628591375e-05
kdgK,-0.209638948610596,1.196628591375e-05
xdhC,-0.207322317105337,1.28442843646675e-05
mntH,-0.303872281509927,1.31922114265782e-05
dnaJ,-0.220507477969479,1.33292793608809e-05
ftsH,0.200948076318056,1.33314555067754e-05
exbD,-0.360823040761402,1.33314555067754e-05
sdaC,0.160100042229271,1.41134060264709e-05
glnL,0.20823131253585,1.41895573312726e-05
glmS,-0.649158065332042,1.45834240480832e-05
trpS,0.160595894025851,1.45834240480832e-05
feoB,-0.246288914167204,1.56182942979081e-05
not_JW5475,-1.0005815061193,1.57521361825535e-05
tsf,0.214148807866713,1.57521361825535e-05
ycfK,-0.417666257950143,1.57521361825535e-05
yccW,-0.151461117089064,1.61360994943705e-05
sohB,-0.337046807181331,1.63748498941238e-05
yifE,-0.143264648494383,1.661903757897e-05
trmD,0.424478980806231,1.661903757897e-05
der,0.252262972636598,1.88856569921499e-05
sufA,-0.392410659198172,1.89984630376412e-05
aidB,0.292302830392985,1.95125640576024e-05
rfaC,0.810828559004542,2.0511009453914e-05
pin,-0.186273021203136,2.06813861116142e-05
pdxJ,0.27289551421609,2.25325181646242e-05
ybbP,0.185010819261379,2.31471954159057e-05
lldP,-0.235127412877599,2.42727151994539e-05
trkH,0.182232932132824,2.44472839721632e-05
ppiB,-0.401037527098482,2.62112786953601e-05
yejG,-0.256303245510772,2.62112786953601e-05
yfeC,-0.172915283226127,2.65927740457613e-05
yaeT-kan,0.151033657446078,2.65927740457613e-05
valS,0.186908622042948,2.85737419347386e-05
not_JW0682,-0.1870782744624,3.07296278595545e-05
not_JW0675,0.282175213977019,3.29324563322122e-05
selA,-0.262664358672051,3.29555378363721e-05
ydhQ,0.126896036476988,3.34132268359446e-05
eutP,0.324871360926312,3.37130491815188e-05
not_JW1181,-0.37510701154984,3.41662456669077e-05
nirB,0.15572840150087,3.42868773816133e-05
yehK,0.20597425373384,3.49155234530869e-05
ybjT,-0.132620200338751,3.81646711638068e-05
parE,0.127579935107351,3.81646711638068e-05
not_JW5364,-0.203058438997129,3.81734348038653e-05
yfeZ,-0.203324142379006,3.90681646165501e-05
pspF,-0.151108972522159,4.00641624064911e-05
emrK,-0.239276730394067,4.2147317946015e-05
not_JW2612,0.342229999855771,4.22323127247265e-05
baeS,-0.174325134515093,4.22323127247265e-05
ylbI,0.252611899736297,4.22359185522039e-05
ubiB,0.194213278805544,4.27670733980096e-05
appC,0.178845139094155,4.28147755118658e-05
not_JW1422,-0.131316452682863,4.52079383705282e-05
ompR,0.289161805445631,4.70886463197316e-05
rbsB,0.12418269068112,4.71322299679727e-05
yqgF,0.172407560878615,4.71322299679727e-05
yqeC,-0.229702360352418,4.71322299679727e-05
phnN,-0.132323585823409,4.95114092715589e-05
ispG,0.12021220868074,5.09976853900508e-05
not_JW3736,-0.114718928472598,5.11613806923416e-05
tatC,-0.137736893827489,5.27944366091472e-05
clpX,-0.274930289187533,5.34767248623444e-05
not_JW2630,-0.194001175947344,5.42509989848666e-05
entA,-0.187084382474357,5.42832815250407e-05
yeiJ,0.150972588614015,5.48113521752912e-05
clpP,-0.405233309646371,5.48113521752912e-05
idnD,-0.247680819384311,5.52651064210235e-05
ybjN,-0.193671268246367,5.64402165522931e-05
entE,-0.188383788176154,5.70303189323009e-05
yhgG,-0.33212535698857,5.77516251365399e-05
ego,-0.132801145023714,5.84531261572581e-05
thrS,0.396356696798203,5.93657584406961e-05
not_JW1476,0.25824162231615,6.07558055710674e-05
eutL,-0.232238239531842,6.50376384476153e-05
yheL,0.256581521985428,6.50376384476153e-05
helD,-0.237526782563933,6.52188026513573e-05
not_JW1171,-0.331564006825507,6.55316816910478e-05
aceF,-0.450360929379592,6.55316816910478e-05
yaiT,-0.123694495271182,7.23196812029739e-05
kdsD,0.111784761826438,7.250455447654e-05
deoB,0.111590644380269,7.36358212867575e-05
yncI,-0.309129234235803,7.42522074328318e-05
ychJ,-0.162093039728121,7.42522074328318e-05
hycH,0.115237539721636,7.59389822776056e-05
yicG,-0.189226105930155,7.60884807904463e-05
gapA,0.153317502280871,7.66669971983142e-05
acpP,0.373920281769559,7.72973446464471e-05
gmhB,0.380702048808619,7.87849127286077e-05
ydbC,0.104412946026725,8.05134539930221e-05
not_JW5649,-0.231079756693264,8.08715308603035e-05
ypjD,0.137426403577101,8.23390078581966e-05
trpC,-0.167119199747849,8.29433442213568e-05
cydC,0.26201759150656,8.37010824912557e-05
ygcJ,0.131509906015549,8.68262910002138e-05
purD,0.232238251210845,8.91446432805248e-05
yrhC,-0.183555136760695,8.91446432805248e-05
crr,-0.397604510902674,8.91446432805248e-05
yhbQ,-0.242241627131436,8.91446432805248e-05
ydeE,0.27520689135926,9.00441938839269e-05
rph,-0.179891373424309,9.63356788436853e-05
cca,0.165844633701071,9.63356788436853e-05
not_JW0515,0.409616627302918,9.63356788436853e-05
csgG,-0.108971207189855,9.7091762728461e-05
yfjK,0.262185192114742,0.000100453633137032
not_JW5480,-0.176394751079865,0.000100505886770476
rnhB,0.0982563519791346,0.000103579303499558
ymcA,0.126856619042892,0.000104767214935184
not_JW2109,0.124449143966165,0.000105013536622138
murF,0.131364969971485,0.000114089714654774
mdtA,-0.248526724549343,0.00011615791357156
emrD,0.201892092422616,0.000122876685039913
rusA,-0.145240898195479,0.000126407295443279
fic,0.109851508461096,0.000134485367983141
yjgB,-0.144225527961885,0.000134736610648016
ftsK,0.252737922032533,0.000139353958108222
tyrS,0.138406799994581,0.000139353958108222
yheM,0.19828466010976,0.000140265000114248
arcA,-0.265827426557956,0.000141221085889619
ygdD,-0.272646325081005,0.000142409727348025
oppB,-0.161640262457598,0.00014323722425807
ylbH,-0.331934086729056,0.000150472840690364
ampD,-0.147450470569734,0.000150472840690364
ryhB,0.212303312553392,0.000150493816967351
ycgL,-0.21126527971397,0.000151925454558213
entC,-0.186153102039086,0.00016751895459812
ybeA,0.106971305594578,0.00017282091402419
phoQ,-0.190799444677717,0.000178843029693926
recD,-0.179141670963772,0.000179537098129269
ftsX,0.232329868802954,0.000187077910713265
yncJ,-0.183314888960971,0.000188111133661424
yhhF,0.113371340254254,0.00018839717272268
rsd,0.186555496660541,0.000195770445232681
ybfC,-0.151425809765654,0.000201406278182986
yciM,-0.431878391003287,0.000206623660846475
zntR,-0.275106893920655,0.000210726756053246
dinQ,0.188050325418718,0.000210726756053246
uhpA,0.197176008993374,0.000210726756053246
eutT,-0.231953135326063,0.000210726756053246
folC,0.148023077921695,0.000210726756053246
yfaE,-0.221358070317119,0.000212358351038698
ygbK,-0.186921175695468,0.000221372022203213
dnaK,-0.569370708636684,0.000227221923820828
yedV,-0.133326803371037,0.000230784539300269
yfjG,-0.195980856511339,0.000231443822043989
mioC,-0.210590218078161,0.000232162394493436
yadS,0.112607602628584,0.000232162394493436
ygfY,-0.427610455638328,0.000233666302501426
ydfB,0.145094972715648,0.000238494294841618
gadX,0.110865547518951,0.000249649796537513
not_JW5414,-0.476174646934646,0.00025011258520755
ybjO,-0.886117103453506,0.000253214202284365
yneG,0.18187514052943,0.000257615828514505
trmU,0.199829952330158,0.00026549532946294
lsrB,0.170315832319648,0.000275858624441268
yccC,-0.224139469773526,0.00027775396658741
yieH,0.0964219258285546,0.000280434304564175
dnaA,0.149551278231353,0.000281209937864396
hflX,-0.202151656111336,0.000287824595678355
guaB,0.472076113055324,0.000289492589252633
yfaH,-0.141048533589015,0.000291756683455502
yphE,0.118387087215207,0.000292778410659827
ycbF,-0.1833560263721,0.000292778410659827
ycfJ,-0.214742439162639,0.000292778410659827
coaD,0.424690140725123,0.000299337736144153
mdlA,-0.196415899253151,0.00030487179206396
greA,0.137094451150602,0.000315161915637582
hisJ,-0.113621822085041,0.000321784476253469
nlpD,0.278191699696245,0.000337303206073692
eutQ,-0.185055204169165,0.000339435650765771
ampE,0.107680876600489,0.000339448409166761
lpxH,0.142772208666985,0.000339448409166761
rfaH,0.190479756441413,0.000346596060801918
gspF,-0.176803460353946,0.000349282519819257
ychN,-0.185982904723275,0.00035043604079422
gidB,0.154937188283473,0.00035043604079422
yrbF,-0.187233250410101,0.000352071275148919
dacA,-0.247530143762928,0.00035546067710483
gcvB,-0.246721926128557,0.000359489361151229
ybdA,0.242103848243805,0.000361739261097642
not_JW0850,-0.283121993817182,0.000362003973509186
dgkA,0.185104829972949,0.000363133504608799
ssuB,-0.150256280830681,0.000363478731564627
ybcQ,-0.21252123443652,0.000371238266664986
ISO92/isrB,-0.173764021551007,0.000375154468139535
yfjL,0.200305882865474,0.0003806285397041
trpR,-0.102685383861722,0.000398001444670591
manA,0.185876234442535,0.000398735935892134
mepA,0.172786611768533,0.00039909982199633
pykA,0.132105142057493,0.00039909982199633
fsaA,-0.209542223438289,0.000406490277194352
glpK,0.0734651932002391,0.000409452967430672
not_JW0671,0.360769975105122,0.000409500348999136
not_JW1036,0.33164710905264,0.00041699318381659
yheV,-0.139687584337775,0.00043291682090072
yecJ,-0.102574527026424,0.00043291682090072
yfbF,-0.230810411214051,0.000433814578220932
yiaT,0.13504523170461,0.000434997592340676
nagD,-0.172469935078066,0.000444911064130425
fiu,0.111143538660323,0.000444911064130425
yjjX,0.115126886742744,0.000447801288984949
rfaB,-0.178140052378159,0.000448791426106054
purA,-0.445996373738744,0.000449985670991179
rsgA,0.20134407958339,0.000453906291627848
gyrA,0.468907062320921,0.000453906291627848
norW,0.161317358449099,0.000459419307945607
ydcA,-0.130188290977462,0.00046030426110263
yeaD,0.172164007858696,0.000467892813030616
flgM,-0.204516243210202,0.000471243948991548
not_JW2540,-0.232809990285936,0.000483488246973738
potB,-0.148168378004685,0.000483488246973738
creB,0.101972249466248,0.000514298082470244
yfjB,0.148179075135667,0.000514673246424049
yfeY,-0.226746655932127,0.000522615432211143
yneH,0.121165910480631,0.000522615432211143
leuC,0.0973321025160863,0.000522615432211143
cbpA,-0.110886943231842,0.000522615432211143
truA,-0.284911095883287,0.000522615432211143
yaiA,-0.22459423316744,0.000522615432211143
not_JW3133,0.23849304653512,0.000522887523711127
yfjF,-0.167538064735785,0.000525583891051513
map,0.11986888783331,0.00054250919710106
ydcS,-0.388188605758707,0.000555774407371993
yqgE,0.183770704475907,0.000555774407371993
alsK,0.244364488735303,0.000555774407371993
rng,-0.234125630770654,0.00056579532898168
yhcH,0.105090737659041,0.000575375380040448
argG,0.158430256083524,0.000580735574453059
fepB,-1.27433922113984,0.000581367102416689
yfdG,0.197754844962238,0.000585850459277351
dacB,0.0899190336149316,0.000586419591263689
yjaB,-0.138112848936088,0.00058887798627763
fecI,0.211822532016618,0.00058887798627763
ycbT,-0.162096400748009,0.000602725314042401
yqgC,0.241023950556623,0.000603238348435834
lldD,0.125358820379221,0.000603238348435834
ybeB,0.184119326790051,0.00062229649251644
not_JW3122,0.144863405145357,0.00062229649251644
rhsE,-0.286608370173017,0.00062229649251644
ydcT,-0.110285874873976,0.000635589618229155
ycgJ,-0.237609013460866,0.000665523200363521
ycdW,0.136670358534061,0.000665523200363521
hlpA,-0.146713382027753,0.000673634295597982
ypjF,0.183130298296498,0.000673634295597982
rfaG,-0.432551694214829,0.000676324229415473
not_JW2544,0.205050263832108,0.000682874198830975
yfbM,-0.226036144682855,0.000691785450792557
purC,0.317680364353313,0.000694616045951691
nlpI,-0.171471701666554,0.000694616045951691
ydgJ,0.114835481895567,0.000704529978111501
rplY,0.118266232677664,0.000704529978111501
queA,-0.126299797787086,0.000718986552852161
not_JW2534,-0.10746154405733,0.000725839059488566
gidA,0.152974731096705,0.000725839059488566
fepD,-1.04488375738517,0.000737106693663525
rbfA,0.245868012767074,0.000750427161650922
yhbU,0.115209701066048,0.000757172196297363
yfdR,-0.22835845555653,0.000757172196297363
rcsD,0.193285874603677,0.000760712547617234
yhaJ,0.0989860306961872,0.000760712547617234
not_JW5726,-0.146757134631376,0.000765444363295243
ldhA,0.119503611891062,0.000776767454844496
yohL,0.0950576200215905,0.000784731943139716
yegS,-0.0942632632920671,0.000784731943139716
pgi,0.101723516055717,0.000788460607911939
rplI,-0.139282155944193,0.000792103507063272
not_JW5799,-0.181554614310221,0.0007946912286174
era,0.135600417512589,0.0007946912286174
yfdX,-0.221741469870698,0.0007946912286174
panB,0.0939084813829455,0.000799147588860217
tolQ,0.286506880357901,0.000799147588860217
ynfK,0.153610902894941,0.000802978291376908
yejM,0.218890961412269,0.00080398590190336
yegK,0.128165251869452,0.000815248829794799
leuA,0.11705948349538,0.000815248829794799
ybeH,-0.130114209901047,0.000819114922825976
ssb,0.371972038228857,0.000829219948767677
yagI,-0.100303398352234,0.000838776716592629
prpE,0.122130270412029,0.000838776716592629
chbR,0.115686014441814,0.000846429304084254
phnB,0.201783485966422,0.00084804741187074
ldcA,-0.465544441563351,0.00084804741187074
ptsI,-0.18516223322016,0.000865711483092134
yebV,-0.246356014376285,0.000883275672269066
yeaY,0.0879751590193831,0.000887889731752872
dksA,-0.330082599060717,0.000905997882439572
ecnAB,0.147608144172836,0.000940663664612281
adk,0.10757025804349,0.000947516719705245
kdtA,0.283909339892345,0.000947516719705245
not_JW2606,-0.154817293764322,0.000954825755480421
lsrD,0.140680613866133,0.000955197953430555
glpX,-0.188388793926659,0.000966999127534502
ycfH,-0.128047687898848,0.000986156479420904
soxR,0.136360090929574,0.000993877926399557
moaE,-0.117692366892626,0.000995837157006912
sspA,0.141910871908135,0.000997597775887082
ydcP,-0.200347645008448,0.000997597775887082
ygbF,0.153894467446128,0.00100797562930827
glxK,-0.226567026666056,0.00100797562930827
murA,0.156537426427905,0.00100797562930827
yfjN,0.104010866911782,0.00100797562930827
ybjX,-0.185401522045691,0.00101344982201613
sfmH,-0.11161400829783,0.00101762288837746
yigF,0.141886187703705,0.00101762288837746
wbbK,-0.168610194509294,0.00101762288837746
galR,0.152300586784619,0.00101762288837746
gspD,-0.275996040993506,0.00101762288837746
arsC,-0.210249566948763,0.00102624447781334
ydeU,0.293985204052276,0.00103022486558164
ymgH,0.104119778349387,0.00103173756640684
yidC,0.136925259492547,0.00107548800030938
yfeU,-0.143166700767113,0.00109771731417733
ygeY,0.187730581841855,0.0011055049455953
nlpB,0.0807260651867009,0.00110610120033926
oxyR,-0.129896928549371,0.00111933779398374
rob,-0.0848842314298785,0.00115280581498076
lolB,0.20303379377816,0.00117106787980893
acs,0.118614889281664,0.00117376643439692
mutY,0.222684001579252,0.00117376643439692
hypC,0.154586540841675,0.00117376643439692
gapC,0.150050980840102,0.0011746026517442
dppB,0.119734388311753,0.0011746026517442
narP,-0.121624579659438,0.00117669034860302
not_JW2875,-0.896072016885331,0.00117669034860302
speA,0.16873055880221,0.00122144614602214
yceJ,-0.387307535293788,0.00123065878434385
yfeK,-0.140812483448001,0.00124417826639748
ydiU,0.103757759734238,0.00124417826639748
fdx,0.255676998839962,0.00124417826639748
yfhM,0.142210603529349,0.00124667207676202
not_JW2461,0.334109875651641,0.00124667207676202
yccX,-0.102742030315689,0.00124667207676202
not_JW0151,0.133126081905123,0.00124667207676202
hokE,-0.0950840312344277,0.00125000980983188
ycbU,-0.148279172237891,0.00125519935044881
pepT,-0.292935486317489,0.00125611314511077
ygjD,0.171004587328043,0.00125611314511077
hybG,-0.136342978141032,0.00125786338461435
umuD,-0.254733852534872,0.00128351331875386
ygcW,-0.137623894390899,0.00128351331875386
cynS,0.085524394501401,0.00129157489133656
crcB,-0.207605959316074,0.00129878259833322
not_JW2567,0.167116285820916,0.00133225137039148
abrB,-0.141347022642362,0.00133989762232146
nadA,0.169729561269641,0.00135454631681479
ydjO,-0.0940829744506911,0.00136138072849424
fimC,-0.119237213805003,0.00136970976801977
ybiM,-0.174950766892655,0.00136970976801977
not_JW0547,-0.0853324115598806,0.00137527435874081
fliR,0.150405580326952,0.00137804163687225
aspS,-0.174274064468928,0.00138352892413358
sucD,-0.214303686046493,0.00139041040114444
yphD,-0.191638901792152,0.00141684366881526
yiiU,-0.159879491305934,0.00141684366881526
ftsA-Kan,0.116936265029288,0.00142438461656364
dcm,-0.133782952354623,0.00142438461656364
atoS,-0.166931695542313,0.00143666528519949
ubiG,-0.174804403515414,0.00143719044974811
apt,-0.178401957922641,0.00145222035485815
yjbC,-0.0849280796176545,0.00145285843678365
qseB,0.254325827974994,0.00147694209583339
yobF,0.119781675556102,0.00147763983353003
not_JW2458,0.175411139724827,0.00148883471809921
not_JW0459,0.264986642690509,0.0014947635145365
purM,0.221944863869067,0.00150985793261612
istR12/istR,-0.0989189843309172,0.0015157091097749
yohK,0.110158513581983,0.00151847514499217
yhbZ,0.146164772179733,0.0015332644961672
tig,-0.11531756960567,0.00153532034467946
arsR,0.0922520013141288,0.00153663292789388
