gene,log2fc,padj
cueO,-0.491606896301228,2.4090301825655e-08
tatC,-0.225308637158063,6.34565363240593e-07
not_JW3003,-0.335468916563643,6.85794314791025e-07
cueR,-0.257708089480764,1.71244987701745e-06
micF,0.181160750790224,3.44891544696202e-06
atpD,-0.362290371248956,1.04445240240523e-05
yfiO-DAS-kan,-0.519183809632548,1.41944949764579e-05
mpl,-0.251986606825436,1.64543070940078e-05
cyoC,-0.153539582868373,3.13622912476418e-05
yciB,-0.166233035424933,3.13622912476418e-05
rfaH,0.348124255065701,3.25826942164745e-05
uvrB,0.155984525142531,4.38623096540482e-05
yhjD-kan,-0.238321662042808,4.5178516152669e-05
lolA-DAS-kan,-0.165787343512308,4.66767857534296e-05
yjjY,0.354147305013546,4.75107705650852e-05
lrhA,0.252325307685743,4.81542586898033e-05
imp-DAS-kan,-0.206185521427525,7.19999106119177e-05
yraO,-0.219420927499161,0.000102530597094592
yehA,-0.457791669072091,0.000102530597094592
not_JW5314,-0.188932353413275,0.000112238665056685
purB,-0.165794682985294,0.000126527765373812
ybjX,-0.110583093532101,0.000390429959512408
not_JW0417,-0.1247229729121,0.000416255569373961
copA,-1.27107769312652,0.000429298680567607
allR,0.128236140066152,0.000429298680567607
yhbC,-0.153968884592923,0.000429298680567607
gidB,0.187510277505394,0.000626651280817717
ycdW,0.164671346697508,0.000626651280817717
rfaE,-0.504303720061099,0.000698081101774251
cyoD,-0.129486618607911,0.000698081101774251
dgkA,0.156674321553851,0.000750091669787886
not_JW0724,0.49015041104337,0.000787495130622463
cysA,0.151353529341755,0.000873247958733602
ribD,0.15633680623791,0.000919053201177933
not_JW1362,0.163714185371956,0.000919053201177933
birA,-0.131320585279061,0.000919053201177933
yfdY,0.206188004497589,0.0010172057596648
not_JW2158,0.283925422935633,0.0010172057596648
ynhF,0.120539887749407,0.00105484601195807
sufC,-0.19990822067238,0.00105484601195807
glyQ,-0.0926661756579052,0.00105484601195807
yhgG,0.188785024417875,0.00111681617336186
ychJ,-0.112983617181634,0.00130613210135803
cpxP,-0.216166604847597,0.0014441349118812
dsbA,0.193534845260081,0.00170756619117357
yfdH,-0.0838381324290837,0.00180933705881239
nirB,0.132839052107581,0.00192047785485178
not_JW3710,-0.354660609604798,0.002008047050671
mioC,0.0998179047670069,0.00203565276303642
rpoC,-0.105628752407419,0.00207099568877461
cyoB,-0.112240236745718,0.00220567950922764
tatB,-0.204128337441735,0.00225692219089637
ybdL,0.104840426762078,0.00225692219089637
purA,-0.412394327576805,0.00233236279725073
acrA,-0.232482677111136,0.00236168643469145
napA,0.114169619050355,0.00246497880001326
xerC,0.153702236456189,0.00246497880001326
not_JW0675,0.174465267141742,0.0024783436983009
ydfY/gnsB,-0.110937493004358,0.00279857053552977
not_JW1105,0.193886617686067,0.00295486909482429
mfd,-0.119970297482814,0.00297663719586789
atpF,-0.324991659735892,0.00306564481022151
cydA,0.216411169896747,0.00321980106759126
rpiR,0.0857116029483607,0.00333083150655398
not_JW0682,-0.0830803280410786,0.00335444582760931
eutE,0.128427246192123,0.00335444582760931
purH,0.186439601544626,0.00336319388479911
mdtI,0.159461883755966,0.00345551844668562
yhjV,-0.0899539080996106,0.00354843225067578
murF,0.0848455856999424,0.00371081832912348
rbsD,-0.372138163009848,0.00374800087828572
rpmE,0.207477945995777,0.00376795028701851
essD,-0.0921917749621488,0.00384038393653974
not_JW0319,-0.114042811897289,0.00384038393653974
nikC,0.0983161275846589,0.0041929652175823
purC,0.209168370530314,0.00432956257650457
yphE,0.102816794556086,0.00433082323100012
aqpZ,0.189985303229004,0.00452988367652569
dnaJ,-0.139588289727913,0.00452988367652569
imp-DAS+4-kan,-0.165299344666747,0.00457093305156893
yeaX,0.0966228375334762,0.00457093305156893
ssrA,-0.106888336994659,0.00457093305156893
ybbP,0.111784894780777,0.00468411974289854
yidR,0.237757886408629,0.00474507031254394
rfbX,0.106423503750378,0.00489589488045582
ychE,-0.0952052221547569,0.00497614514624185
dinQ,0.134121988388451,0.00505505307433902
malX,0.24868358962474,0.00505979587059408
amiA,0.0704714365145175,0.00522375280160914
pgi,0.0879315787409018,0.00522375280160914
norW,0.1016753749393,0.00526758238875036
not_JW3709,-0.359493356521408,0.00526758238875036
glpX,-0.167265754558167,0.00526758238875036
yrbD,0.0836425093133301,0.00527791227121588
yfeC,-0.118883333625986,0.00548863355460203
mutY,0.270744625990768,0.00555982673934159
yejK,0.0907644775558556,0.00565341167993456
holE,-0.084238648314242,0.00572559785012472
not_JW0559,-0.158903088931706,0.00576274965173928
purL,0.206707865823992,0.00576274965173928
yqfE,0.146792103214091,0.0057808884299228
sdaC,0.102367427254825,0.00591966593629452
yeeT,0.12604013941081,0.00662338092372528
yfbF,-0.163045733247848,0.00697542608155472
ycgL,-0.100851741195372,0.00697542608155472
